Nombre,Fecha inicio,Fecha fin,URL,Ciudad
C.A. Somnium – Prueba de Agility,"27 septiembre, 2025","28 septiembre, 2025",https://www.rsce.es/eventos/c-a-somnium-prueba-de-agility-3/,Castellón
C.A. Ourencan – Prueba de Agility,"27 septiembre, 2025","28 septiembre, 2025",https://www.rsce.es/eventos/c-a-ourencan-prueba-de-agility-2/,Orense
C.A. Ciudad de Algeciras – Prueba de Agility,"4 octubre, 2025","5 octubre, 2025",https://www.rsce.es/eventos/c-a-ciudad-de-algeciras-prueba-de-agility-3/,Cádiz
C.A. Canlosal – Prueba de Agility,"4 octubre, 2025","5 octubre, 2025",https://www.rsce.es/eventos/c-a-canlosal-prueba-de-agility/,Las Palmas
C.A. Villena – Prueba de Agility,"4 octubre, 2025","5 octubre, 2025",https://www.rsce.es/eventos/c-a-villena-prueba-de-agility-3/,Alicante
C.A. Tandem – Prueba de Agility,"4 octubre, 2025","5 octubre, 2025",https://www.rsce.es/eventos/c-a-tandem-prueba-de-agility/,Madrid
C.A. Divertidog Sonrisas y Huellas – Prueba de Agility,"4 octubre, 2025","5 octubre, 2025",https://www.rsce.es/eventos/c-a-divertidog-sonrisas-y-huellas-prueba-de-agility-6/,Zaragoza
C.A. L’Horta Nord – Prueba de Agility,"9 octubre, 2025","12 octubre, 2025",https://www.rsce.es/eventos/c-a-lhorta-nord-prueba-de-agility/,Valencia
C.A. Mancur’s – Prueba de Agility,"11 octubre, 2025","12 octubre, 2025",https://www.rsce.es/eventos/c-a-mancurs-prueba-de-agility-2/,Toledo
C.A. Valles Club Cani – Prueba de Agility,"11 octubre, 2025","12 octubre, 2025",https://www.rsce.es/eventos/c-a-valles-club-cani-prueba-de-agility-4/,Barcelona
C.A. Depordog – Prueba de Agility,"11 octubre, 2025","13 octubre, 2025",https://www.rsce.es/eventos/c-a-depordog-prueba-de-agility-2/,Cádiz
Copa en España de Agility de la RSCE para la raza Perro de Pastor Belga,"12 octubre, 2025",,https://www.rsce.es/eventos/copa-en-espana-de-agility-de-la-rsce-para-la-raza-perro-de-pastor-belga-2/,Algeciras (Cádiz)
C.A. Amics del Gos de Ondara – Prueba de Agility,"17 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-amics-del-gos-de-ondara-prueba-de-agility-5/,Ondara (Alicante)
C.A. Tercans – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-tercans-prueba-de-agility-7/,Pontevedra
C.A. Tinerfe – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-tinerfe-prueba-de-agility-2/,Tenerife
C.A. La Princesa – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-la-princesa-prueba-de-agility/,Madrid
C.A. Ciutat de Valencia – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-ciutat-de-valencia-prueba-de-agility/,Valencia
C.A. Les Fonts – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-les-fonts-prueba-de-agility-3/,Barcelona
C.A. Zarajump – Prueba de Agility,"18 octubre, 2025","19 octubre, 2025",https://www.rsce.es/eventos/c-a-zarajump-prueba-de-agility-4/,Gotor (Zaragoza)
Copa en España de Agility de la RSCE para las razas españolas,"18 octubre, 2025",,https://www.rsce.es/eventos/copa-en-espana-de-agility-de-la-rsce-para-las-razas-espanolas/,Ondara (Alicante)
Copa en España de Agility de la RSCE para la raza Cocker Spaniel,"19 octubre, 2025",,https://www.rsce.es/eventos/copa-en-espana-de-agility-de-la-rsce-para-la-raza-cocker-spaniel-2/,Ondara (Alicante)
C.A. The Paws By Patas – Prueba de Agility,"25 octubre, 2025","26 octubre, 2025",https://www.rsce.es/eventos/c-a-the-paws-by-patas-prueba-de-agility-2/,Pontevedra
C.A. Costa Blanca – Prueba de Agility,"25 octubre, 2025","26 octubre, 2025",https://www.rsce.es/eventos/c-a-costa-blanca-prueba-de-agility-2/,Alicante
C.A. Mikan – Prueba de Agility,"25 octubre, 2025","26 octubre, 2025",https://www.rsce.es/eventos/c-a-mikan-prueba-de-agility-3/,Madrid
C.A. Pawer – Prueba de Agility,"25 octubre, 2025","26 octubre, 2025",https://www.rsce.es/eventos/c-a-pawer-prueba-de-agility-5/,Cantabria
C.A. Dogit – Prueba de Agility,"31 octubre, 2025","2 noviembre, 2025",https://www.rsce.es/eventos/c-a-dogit-prueba-de-agility-3/,Granada
C.A. L’Almozara Can Bosc – Prueba de Agility,"1 noviembre, 2025","2 noviembre, 2025",https://www.rsce.es/eventos/c-a-lalmozara-can-bosc-prueba-de-agility-3/,Barcelona
C.A. Almussafes – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-almussafes-prueba-de-agility/,Valencia
C.A. Do It – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-do-it-prueba-de-agility/,Madrid
C.A. Sa Roca – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-sa-roca-prueba-de-agility/,Zaragoza
C.A. Valle de Güimar – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-valle-de-guimar-prueba-de-agility-4/,Tenerife
C.A. Xanastur – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-xanastur-prueba-de-agility-7/,Oviedo
C.A. Ourencan – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-ourencan-prueba-de-agility-3/,Orense
C.A. Rio Mula – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-rio-mula-prueba-de-agility-2/,Murcia
C.A. El Area Jerez – Prueba de Agility,"14 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-el-area-jerez-prueba-de-agility-4/,Cádiz
C.A. Baix Llobregat – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-baix-llobregat-prueba-de-agility-3/,Barcelona
C.A. Divertidog Sonrisas y Huellas – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-divertidog-sonrisas-y-huellas-prueba-de-agility-4/,Zaragoza
C.A. Star Can – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-star-can-prueba-de-agility-2/,Alicante
C.A. Pinto – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-pinto-prueba-de-agility/,Madrid
